Firma,Miasto,Telefon,Czy mają własną stronę?,Strona WWW,Instagram,Facebook,Booksy,YouTube,TikTok,Jakość,Notatki scrapera
Fotografia Kamila Wojnicka,Piotrków Trybunalski,607481926,Nie,,,Tak,,,,,"Bardzo dobra widoczność: brak własnej strony, ale aktywne social media (Facebook) i 45 opinii Google śr. 5.0 — najlepszy typ leada (dużo ruchu, zero www). FB(raw): https://www.facebook.com/share/1HHGjUAYsD/ | Maps: https://www.google.com/maps/place/Fotografia+Kamila+Wojnicka/data=!4m7!3m6!1s0x47198bd58487ae09:0x42cc90c55d89da81!8m2!3d51.4091448!4d19.6674402!16s%2Fg%2F11vs11klvg!19sChIJCa6HhNWLGUcRgdqJXcWQzEI?authuser=0&hl=pl&g_ep=EgoyMDI2MDkwOS4wIJJjKgBIAVAD&rclk=1"
Fotografia z pasją Magda Librowska,Piotrków Trybunalski,725702500,Tak,http://www.magdalibrowska.pl/,,Tak,,,,,Ma własną stronę WWW (http://www.magdalibrowska.pl/). FB: https://www.facebook.com/MagdaLibrowskaFoto/ | Maps: https://www.google.com/maps/place/Fotografia+z+pasj%C4%85+Magda+Librowska/data=!4m7!3m6!1s0x47198a93b8a188cb:0xb5d00c13add2c303!8m2!3d51.4091856!4d19.6930094!16s%2Fg%2F11g8vq75fp!19sChIJy4ihuJOKGUcRA8PSrRMM0LU?authuser=0&hl=pl&g_ep=EgoyMDI2MDkwOS4wIJJjKgBIAVAD&rclk=1
PROSTUDIO 01 - studio fotograficzne Piotrków Trybunalski,Piotrków Trybunalski,881686502,Nie,,,,,,,,"Skąpy profil Google (2 opinii, śr. 5.0) — nie wykryto automatycznie FB/IG/Booksy. Social media NIE zweryfikowane indywidualnie (za duża skala).  Uwaga: domena http://www.prostudio01.com/ z wizytówki Google nie odpowiada / wygląda na wygasłą (sprawdzone DNS) — realnie brak działającej strony. Maps: https://www.google.com/maps/place/PROSTUDIO+01+-+studio+fotograficzne+Piotrk%C3%B3w+Trybunalski/data=!4m7!3m6!1s0x9675859e5dfdc2d:0xc076c1eaa1a310ea!8m2!3d51.4119096!4d19.6900111!16s%2Fg%2F11n39vc0nw!19sChIJLdzf5VlYZwkR6hCjoerBdsA?authuser=0&hl=pl&g_ep=EgoyMDI2MDkwOS4wIJJjKgBIAVAD&rclk=1"
Studio Fabryka Obrazu,Piotrków Trybunalski,515340024,Tak,https://studiofabrykaobrazu.pl/,Tak,,,,,,Ma własną stronę WWW (https://studiofabrykaobrazu.pl/). IG: https://www.instagram.com/fabrykaobrazu/ | Maps: https://www.google.com/maps/place/Studio+Fabryka+Obrazu/data=!4m7!3m6!1s0x47198b62a23b7fbd:0xab5c6205783538a1!8m2!3d51.409062!4d19.685023!16s%2Fg%2F11vpy1xclv!19sChIJvX87omKLGUcRoTg1eAViXKs?authuser=0&hl=pl&g_ep=EgoyMDI2MDkwOS4wIJJjKgBIAVAD&rclk=1
Anpro Studio,Piotrków Trybunalski,606187886,Tak,http://anpro-studio.pl/,Tak,Tak,,,,,Ma własną stronę WWW (http://anpro-studio.pl/). FB: https://www.facebook.com/ANPRO-Studio-461939727254484/ | IG: https://www.instagram.com/anpro_studio | Maps: https://www.google.com/maps/place/Anpro+Studio/data=!4m7!3m6!1s0x471a20692b1ebab9:0xe385f079b1f2c679!8m2!3d51.4123581!4d19.6423183!16s%2Fg%2F11cmznfbdt!19sChIJuboeK2kgGkcRecbysXnwheM?authuser=0&hl=pl&g_ep=EgoyMDI2MDkwOS4wIJJjKgBIAVAD&rclk=1
Studioba,Piotrków Trybunalski,509430870,Tak,https://www.studioba.pl/,Tak,Tak,,,,,Ma własną stronę WWW (https://www.studioba.pl/). FB: https://www.facebook.com/studioba.basiakrzesniakphotography | IG: https://www.instagram.com/studioba.basia/ | Maps: https://www.google.com/maps/place/Studioba/data=!4m7!3m6!1s0x47198bce627feed1:0xa198cc7b4ba155e5!8m2!3d51.4108092!4d19.6917633!16s%2Fg%2F11xtmnsgqq!19sChIJ0e5_Ys6LGUcR5VWhS3vMmKE?authuser=0&hl=pl&g_ep=EgoyMDI2MDkwOS4wIJJjKgBIAVAD&rclk=1
Iga Zylbert Photography,Piotrków Trybunalski,695195464,Nie,,,Tak,,,,,"Bardzo dobra widoczność: brak własnej strony, ale aktywne social media (Facebook) i 15 opinii Google śr. 5.0 — najlepszy typ leada (dużo ruchu, zero www). FB(raw): https://www.facebook.com/profile.php?id=61560890804450 | Maps: https://www.google.com/maps/place/Iga+Zylbert+Photography/data=!4m7!3m6!1s0x47198b7479921e75:0xab3129536c047e0e!8m2!3d51.4104807!4d19.7147571!16s%2Fg%2F11wbl_ftkc!19sChIJdR6SeXSLGUcRDn4EbFMpMas?authuser=0&hl=pl&g_ep=EgoyMDI2MDkwOS4wIJJjKgBIAVAD&rclk=1"
Magdalena Molińska Fotografia_portret Fine Art i Kreatywny,Piotrków Trybunalski,606169179,Nie,,,,,,,,"Uzupełniony profil Google (19 opinii, śr. 5.0) — nie wykryto automatycznie FB/IG/Booksy. Social media NIE zweryfikowane indywidualnie (za duża skala) — sprawdzić ręcznie przed telefonem.  Uwaga: domena http://magdalenamolinska.pl/ z wizytówki Google nie odpowiada / wygląda na wygasłą (sprawdzone DNS) — realnie brak działającej strony. Maps: https://www.google.com/maps/place/Magdalena+Moli%C5%84ska+Fotografia_portret+Fine+Art+i+Kreatywny/data=!4m7!3m6!1s0x471a21cc70e6c351:0x5810a066fb8832ab!8m2!3d51.4220445!4d19.6465737!16s%2Fg%2F11t2fsryfr!19sChIJUcPmcMwhGkcRqzKI-2agEFg?authuser=0&hl=pl&g_ep=EgoyMDI2MDkwOS4wIJJjKgBIAVAD&rclk=1"
Kamienica - Studio Fotograficzne Piotrków Trybunalski,Piotrków Trybunalski,605035125,Tak,https://www.czarekchomicz.com/studiofotograficznepiotrkow,,,,,,,Ma własną stronę WWW (https://www.czarekchomicz.com/studiofotograficznepiotrkow). Maps: https://www.google.com/maps/place/Kamienica+-+Studio+Fotograficzne+Piotrk%C3%B3w+Trybunalski/data=!4m7!3m6!1s0x47198b0068768a71:0x64e9c12b046697ec!8m2!3d51.4131777!4d19.6783829!16s%2Fg%2F11ldvy3b7r!19sChIJcYp2aACLGUcR7JdmBCvB6WQ?authuser=0&hl=pl&g_ep=EgoyMDI2MDkwOS4wIJJjKgBIAVAD&rclk=1
FOTO KACZOROWSCY fotograf Piotrków zdjęcia ślubne,Piotrków Trybunalski,500147141,Tak,http://www.foto-kaczorowscy.com/,Tak,Tak,,,,,"Ma własną stronę WWW (http://www.foto-kaczorowscy.com/). FB: https://www.facebook.com/FOTOKaczorowski | IG: https://www.instagram.com/foto_kaczorowscy/ | Maps: https://www.google.com/maps/place/FOTO+KACZOROWSCY+fotograf+Piotrk%C3%B3w+zdj%C4%99cia+%C5%9Blubne/data=!4m7!3m6!1s0x471a2070b420be53:0x6ae04ed594593360!8m2!3d51.4114053!4d19.6592065!16s%2Fg%2F11y5y93kv!19sChIJU74gtHAgGkcRYDNZlNVO4Go?authuser=0&hl=pl&g_ep=EgoyMDI2MDkwOS4wIJJjKgBIAVAD&rclk=1 | Widoczny też w wynikach dla: Piotrków Trybunalski, Bełchatów"
Paweł Zygmunt,Bełchatów,663043613,Tak,http://www.pawelzygmunt.com/,Tak,Tak,,,,,"Ma własną stronę WWW (http://www.pawelzygmunt.com/). FB: https://www.facebook.com/Pawe%C5%82-Zygmunt-1547050938931331/ | IG: https://www.instagram.com/zygmunt8590/ | Maps: https://www.google.com/maps/place/Pawe%C5%82+Zygmunt/data=!4m7!3m6!1s0x471a19e19d7f92c7:0x8c95db4c8dc235c9!8m2!3d51.362501!4d19.3640661!16s%2Fg%2F1tjdvnhm!19sChIJx5J_neEZGkcRyTXCjUzblYw?authuser=0&hl=pl&g_ep=EgoyMDI2MDkwOS4wIJJjKgBIAVAD&rclk=1 | Widoczny też w wynikach dla: Bełchatów, Szczerców"
Foto A.S.Orpel,Bełchatów,446323664,Tak,http://www.fotoorpel.pl/,,Tak,,,,,Ma własną stronę WWW (http://www.fotoorpel.pl/). FB: https://www.facebook.com/Fotoorpel/ | Maps: https://www.google.com/maps/place/Foto+A.S.Orpel/data=!4m7!3m6!1s0x471a19dfdac9274f:0x8afa1331fd2f0271!8m2!3d51.3642419!4d19.3701467!16s%2Fg%2F1tf27f5r!19sChIJTyfJ2t8ZGkcRcQIv_TET-oo?authuser=0&hl=pl&g_ep=EgoyMDI2MDkwOS4wIJJjKgBIAVAD&rclk=1
Komar Top,Bełchatów,605616646,Nie,,,Tak,,,,,"Bardzo dobra widoczność: brak własnej strony, ale aktywne social media (Facebook) i 15 opinii Google śr. 4.7 — najlepszy typ leada (dużo ruchu, zero www). FB(raw): https://www.facebook.com/StudioFotoKomarTop | Maps: https://www.google.com/maps/place/Komar+Top/data=!4m7!3m6!1s0x471a19ebfe97b869:0x9a4f603c2e801d36!8m2!3d51.3561744!4d19.3865919!16s%2Fg%2F1tdp3s_d!19sChIJabiX_usZGkcRNh2ALjxgT5o?authuser=0&hl=pl&g_ep=EgoyMDI2MDkwOS4wIJJjKgBIAVAD&rclk=1 | Widoczny też w wynikach dla: Bełchatów, Zelów"
"Studio Fotograficzne ""Fabryka Fotografii"" Anita Szafrańska",Bełchatów,609031376,Nie,,Tak,Tak,,,,,"Bardzo dobra widoczność: brak własnej strony, ale aktywne social media (Facebook + Instagram) i 19 opinii Google śr. 4.6 — najlepszy typ leada (dużo ruchu, zero www). FB: https://www.facebook.com/anitaszafranskafotografia/ | IG: https://www.instagram.com/fabryka.fotografii/ | Maps: https://www.google.com/maps/place/Studio+Fotograficzne+%22Fabryka+Fotografii%22+Anita+Szafra%C5%84ska/data=!4m7!3m6!1s0x471a19dc3d8d7e1b:0x467dc47e75f04bdc!8m2!3d51.3670761!4d19.3783116!16s%2Fg%2F11c2r0xf7s!19sChIJG36NPdwZGkcR3EvwdX7EfUY?authuser=0&hl=pl&g_ep=EgoyMDI2MDkwOS4wIJJjKgBIAVAD&rclk=1"
Paulina Pawelus Fotografia,Bełchatów,690895095,Tak,https://paulinapawelus.com/,Tak,Tak,,,,,Ma własną stronę WWW (https://paulinapawelus.com/). FB: https://www.facebook.com/paulinapawelusfotografia | IG: https://www.instagram.com/paulinapawelusfotografia | Maps: https://www.google.com/maps/place/Paulina+Pawelus+Fotografia/data=!4m7!3m6!1s0x471a19cfb26bf05d:0xc6030c2b9f10229d!8m2!3d51.3505598!4d19.367888!16s%2Fg%2F11fk131zrs!19sChIJXfBrss8ZGkcRnSIQnysMA8Y?authuser=0&hl=pl&g_ep=EgoyMDI2MDkwOS4wIJJjKgBIAVAD&rclk=1
"Anna Teodorczyk Fotografia, Fotograf Bełchatów",Bełchatów,509658007,Nie,,,,,,,,"Uzupełniony profil Google (14 opinii, śr. 4.4) — nie wykryto automatycznie FB/IG/Booksy. Social media NIE zweryfikowane indywidualnie (za duża skala) — sprawdzić ręcznie przed telefonem.  Uwaga: domena https://annateodorczyk.pl/ z wizytówki Google nie odpowiada / wygląda na wygasłą (sprawdzone DNS) — realnie brak działającej strony. Maps: https://www.google.com/maps/place/Anna+Teodorczyk+Fotografia,+Fotograf+Be%C5%82chat%C3%B3w/data=!4m7!3m6!1s0x471a172a9176dd41:0x8155eafe7b321120!8m2!3d51.3525583!4d19.358493!16s%2Fg%2F11j0w7y6r_!19sChIJQd12kSoXGkcRIBEye_7qVYE?authuser=0&hl=pl&g_ep=EgoyMDI2MDkwOS4wIJJjKgBIAVAD&rclk=1"
Fotograf Foto A.S Orpel s.c.,Bełchatów,446329742,Nie,,,Tak,,,,,"Bardzo dobra widoczność: brak własnej strony, ale aktywne social media (Facebook) i 26 opinii Google śr. 4.5 — najlepszy typ leada (dużo ruchu, zero www). FB: https://www.facebook.com/Fotoorpel/ | Maps: https://www.google.com/maps/place/Fotograf+Foto+A.S+Orpel+s.c./data=!4m7!3m6!1s0x471a1759bc20295f:0x9e5e125ba83fcdeb!8m2!3d51.357707!4d19.3560261!16s%2Fg%2F11gzl11zx!19sChIJXykgvFkXGkcR680_qFsSXp4?authuser=0&hl=pl&g_ep=EgoyMDI2MDkwOS4wIJJjKgBIAVAD&rclk=1"
Foto-Maciejewski,Bełchatów,605136651,Tak,http://foto-maciejewski.pl/,,Tak,,,,,Ma własną stronę WWW (http://foto-maciejewski.pl/). FB: https://www.facebook.com/fotomaciejewski | Maps: https://www.google.com/maps/place/Foto-Maciejewski/data=!4m7!3m6!1s0x471a19e4fe437139:0xaf08e581284179f4!8m2!3d51.3556063!4d19.372594!16s%2Fg%2F11h48x0rww!19sChIJOXFD_uQZGkcR9HlBKIHlCK8?authuser=0&hl=pl&g_ep=EgoyMDI2MDkwOS4wIJJjKgBIAVAD&rclk=1
Fotografia Imprez i Eventów – Iwona Bińkowska,Bełchatów,608379751,Nie,,,Tak,,,,,"Bardzo dobra widoczność: brak własnej strony, ale aktywne social media (Facebook) i 15 opinii Google śr. 5.0 — najlepszy typ leada (dużo ruchu, zero www). FB(raw): https://www.facebook.com/share/1HYpCB3mp1/ | Maps: https://www.google.com/maps/place/Fotografia+Imprez+i+Event%C3%B3w+%E2%80%93+Iwona+Bi%C5%84kowska/data=!4m7!3m6!1s0x471a19a8ca22ffdf:0x9a226832eba2b756!8m2!3d51.3527419!4d19.3601628!16s%2Fg%2F11n9hfpv3y!19sChIJ3_8iyqgZGkcRVrei6zJoIpo?authuser=0&hl=pl&g_ep=EgoyMDI2MDkwOS4wIJJjKgBIAVAD&rclk=1"
kadryzpasji Dominika Poborska,Bełchatów,570343709,Nie,,Tak,,,,,,"Bardzo dobra widoczność: brak własnej strony, ale aktywne social media (Instagram) i 15 opinii Google śr. 5.0 — najlepszy typ leada (dużo ruchu, zero www). IG: https://www.instagram.com/kadryzpasji/ | Maps: https://www.google.com/maps/place/kadryzpasji+Dominika+Poborska/data=!4m7!3m6!1s0x471a19f8d0b051ef:0xafc80deaec175d62!8m2!3d51.3745336!4d19.3828278!16s%2Fg%2F11z74dgz10!19sChIJ71Gw0PgZGkcRYl0X7OoNyK8?authuser=0&hl=pl&g_ep=EgoyMDI2MDkwOS4wIJJjKgBIAVAD&rclk=1"
Polkowski Fotograf Kamerzysta Filmowanie Bełchatów,Bełchatów,516944883,Nie,,,Tak,,,,,"Bardzo dobra widoczność: brak własnej strony, ale aktywne social media (Facebook) i 44 opinii Google śr. 4.5 — najlepszy typ leada (dużo ruchu, zero www). FB(raw): https://www.facebook.com/polkowskifotograf | Maps: https://www.google.com/maps/place/Polkowski+Fotograf+Kamerzysta+Filmowanie+Be%C5%82chat%C3%B3w/data=!4m7!3m6!1s0x471a193427020f05:0x62f585384c541bc7!8m2!3d51.3636966!4d19.3720566!16s%2Fg%2F11t321x2kg!19sChIJBQ8CJzQZGkcRxxtUTDiF9WI?authuser=0&hl=pl&g_ep=EgoyMDI2MDkwOS4wIJJjKgBIAVAD&rclk=1"
Krzysztof Krawczyk Memories - Fotografia Ślubna,Bełchatów,792009461,Tak,https://krzysztofmemories.pl/,Tak,Tak,,,,,Ma własną stronę WWW (https://krzysztofmemories.pl/). FB: https://www.facebook.com/KrzysztofKMemories/ | IG: https://www.instagram.com/krzysztof_k.memories/ | Maps: https://www.google.com/maps/place/Krzysztof+Krawczyk+Memories+-+Fotografia+%C5%9Alubna/data=!4m7!3m6!1s0x471a19dfc16c8f17:0xb13918101a4d509d!8m2!3d51.3655649!4d19.3699489!16s%2Fg%2F11b6pkts8p!19sChIJF49swd8ZGkcRnVBNGhAYObE?authuser=0&hl=pl&g_ep=EgoyMDI2MDkwOS4wIJJjKgBIAVAD&rclk=1
Morzyński Andrzej. Zakład fotograficzny,Bełchatów,446321717,Nie,,,,,,,,"Bardzo słaby profil Google (2 opinii, śr. 3.0), brak jakiejkolwiek aktywności w social media (zweryfikowano) — firma praktycznie niewidoczna online. Uwaga: strona z Google Maps to katalog/agregator, nie własna domena. Maps: https://www.google.com/maps/place/Morzy%C5%84ski+Andrzej.+Zak%C5%82ad+fotograficzny/data=!4m7!3m6!1s0x471a19df784fdd27:0x65217a853fb20059!8m2!3d51.3674007!4d19.369594!16s%2Fg%2F1tcvsls_!19sChIJJ91PeN8ZGkcRWQCyP4V6IWU?authuser=0&hl=pl&g_ep=EgoyMDI2MDkwOS4wIJJjKgBIAVAD&rclk=1"
Krzysztof Gardulski PHOTOGRAPHY,Bełchatów,728970453,Tak,http://www.krzysztof-gardulski.pl/,,,,,,,Ma własną stronę WWW (http://www.krzysztof-gardulski.pl/). Maps: https://www.google.com/maps/place/Krzysztof+Gardulski+PHOTOGRAPHY/data=!4m7!3m6!1s0x471a17588014d63f:0x98ce0da8b75b5916!8m2!3d51.3343665!4d19.3828748!16s%2Fg%2F1thwz5kd!19sChIJP9YUgFgXGkcRFllbt6gNzpg?authuser=0&hl=pl&g_ep=EgoyMDI2MDkwOS4wIJJjKgBIAVAD&rclk=1
Foto Prestiż,Bełchatów,797187703,Tak,https://www.fotoprestiz.com/,,,,,,,Ma własną stronę WWW (https://www.fotoprestiz.com/). Maps: https://www.google.com/maps/place/Foto+Presti%C5%BC/data=!4m7!3m6!1s0x471a19fd561a6933:0xaffe70d02ab623a9!8m2!3d51.3548978!4d19.3599003!16s%2Fg%2F11df81ny2l!19sChIJM2kaVv0ZGkcRqSO2KtBw_q8?authuser=0&hl=pl&g_ep=EgoyMDI2MDkwOS4wIJJjKgBIAVAD&rclk=1
Studio Filmowe KLATKA Tomasz Kurzydlak,Bełchatów,888862912,Tak,http://www.studioklatka.pl/,,,,,,,Ma własną stronę WWW (http://www.studioklatka.pl/). Maps: https://www.google.com/maps/place/Studio+Filmowe+KLATKA+Tomasz+Kurzydlak/data=!4m7!3m6!1s0x471a19fd45c596bd:0xc896505d95fb1f07!8m2!3d51.3687535!4d19.3564248!16s%2Fg%2F1td36_4q!19sChIJvZbFRf0ZGkcRBx_7lV1Qlsg?authuser=0&hl=pl&g_ep=EgoyMDI2MDkwOS4wIJJjKgBIAVAD&rclk=1
Fotoexpress w Urzędzie Gminy Bełchatów,Bełchatów,888551271,Tak,https://fotoexpress.biz/,,,,,,,"Ma własną stronę WWW (https://fotoexpress.biz/). Maps: https://www.google.com/maps/place/Fotoexpress+w+Urz%C4%99dzie+Gminy+Be%C5%82chat%C3%B3w/data=!4m7!3m6!1s0x471a19071cb92c29:0xc78a0c1c0aab020c!8m2!3d51.3655109!4d19.3694158!16s%2Fg%2F11yx4rp_k1!19sChIJKSy5HAcZGkcRDAKrChwMisc?authuser=0&hl=pl&g_ep=EgoyMDI2MDkwOS4wIJJjKgBIAVAD&rclk=1 | Widoczny też w wynikach dla: Bełchatów, Moszczenica, Kamieńsk, Radomsko, Tomaszów Mazowiecki, Wolbórz"
Fotomar. Usługi fotograficzne. Sztorc Mariusz,Bełchatów,601929904,Tak,https://www.fotomar.org/,,Tak,,,,,Ma własną stronę WWW (https://www.fotomar.org/). FB: https://www.facebook.com/fotomarbelchatow/ | Maps: https://www.google.com/maps/place/Fotomar.+Us%C5%82ugi+fotograficzne.+Sztorc+Mariusz/data=!4m7!3m6!1s0x471a1758b91500f3:0xd7ec38466099eeeb!8m2!3d51.3594717!4d19.361485!16s%2Fg%2F1vb9bt61!19sChIJ8wAVuVgXGkcR6-6ZYEY47Nc?authuser=0&hl=pl&g_ep=EgoyMDI2MDkwOS4wIJJjKgBIAVAD&rclk=1
FotoArt Pisarek&Gajzler,Moszczenica,501690063,Tak,https://www.fotoart-photography.pl/,Tak,Tak,,,,,Ma własną stronę WWW (https://www.fotoart-photography.pl/). FB: https://www.facebook.com/fotoart.photographs | IG: https://www.instagram.com/fotoart.photography/ | Maps: https://www.google.com/maps/place/FotoArt+Pisarek%26Gajzler/data=!4m7!3m6!1s0x471a27ef1d31c959:0xa99f37010cd1c856!8m2!3d51.5001015!4d19.7099542!16s%2Fg%2F11yb2d2dzn!19sChIJWckxHe8nGkcRVsjRDAE3n6k?authuser=0&hl=pl&g_ep=EgoyMDI2MDkwOS4wIJJjKgBIAVAD&rclk=1
