Nisza,Nazwa firmy,Miasto,Telefon,Ilość opini,Jakość biznesu (1-5),Czy mają stronę?,Facebook/Instagram/Booksy,Odebrał?,Zainteresowany?,Kto dzwonił,Reminder,Termin call,Termin Google Meet (w),Notatki,,,,,,
Fryzjer,Mobilne Usługi Fryzjerskie - Beata Zabłocka,Piotrków Trybunalski,606246454,6,2,Tak,-,Nie,Nie,Nikodem,,,,ma strone dziwna fryzjerka lwokey,,,,,,
Fryzjer,Salon fryzjerski J.Ostrowski,Tomaszów Mazowiecki,513255258,260,2,Nie,-,Tak,Nie,Nikodem,,,,,,,,,,
Fryzjer,Salon fryzjerski Renata - fryzjer damsko-męski,Sulejów,501474419,17,2,Nie,Facebook,Tak,Nie,Sylwester,,,,,,,,,,
Fryzjer,Mierzwa Robert. Zakład fryzjerski,Tomaszów Mazowiecki,501586630,89,2,Nie,Facebook,Tak,?,Nikodem,,,,duzo roboty za 2-3 miesiace sie odezwac,,,,,,
Fryzjer,Salon fryzjerski Małgorzata Kazub,Wola Krzysztoporska,501283597,27,2,Nie,-,Tak,Nie,Nikodem,,,,,,,,,,
Fryzjer,Fryzjerstwo Męskie Michał Wójcik,Tomaszów Mazowiecki,792458545,88,2,Nie,-,Tak,Nie,Nikodem,,,,,,,,,,
Fryzjer,"Studio Fryzjersko-Kosmetyczne ""Wizaż""",Tomaszów Mazowiecki,663650302,19,2,Nie,Facebook,Tak,Nie,Sylwester,,,,,,,,,,
Fryzjer,Zakład fryzjerski (pl. Litewski),Piotrków Trybunalski,535110382,11,2,Nie,-,Nie,Nie,Nikodem,,,,,,,,,,
Fryzjer,Karmelkowe Ciapki. Psi fryzjer,Mąkoszyn,665872438,24,3,Nie,"Facebook, Instagram",-,,,,,,ma przerwe od fryzjerowania,,,,,,
Fryzjer,GRANDA BARBER SHOP,Piotrków Trybunalski,793734224,6,3,Nie,"Instagram, Booksy",,,-,,,,duzo salonow,,,,,,
Fryzjer,Awangarda Salon Fryzjerski,Piotrków Trybunalski,692664857,46,3,Nie,"Facebook, Instagram",,,-,,,,zamkniete kurw,,,,,,
Fryzjer,Studio Włosa,Piotrków Trybunalski,883548545,33,3,Nie,"Facebook, Instagram",Nie,Oddzwonic,Nikodem,,,,,,,,,,
Fryzjer,"Salon Fryzjersko-Kosmetyczny ""DANUSIA""",Piotrków Trybunalski,507742486,26,3,Nie,-,Tak,Nie,Sylwester,,,,,,,,,,
Fryzjer,Studio Top Styl,Piotrków Trybunalski,447339880,78,5,Nie,"Facebook, Instagram, Booksy",,,,,,,,,,,,,
Fryzjer,Przystanek Fryzjer - fryzjerstwo męskie,Piotrków Trybunalski,574588071,81,3,Nie,-,Tak,Nie,Nikodem,,,,,,,,,,
Fryzjer,Salon Fryzjerski Paradise,Piotrków Trybunalski,669301022,53,3,Nie,Facebook,Nie,SMS,Nikodem,,,,,,,,,,
Fryzjer,X Cut Studio,Michałów,502077557,55,3,Nie,"Facebook, Instagram",Tak,?,Nikodem,,,,renryk ma mi to closnac,,,,,,
Fryzjer,Bogumiła Staniewska Ombre Fryzjer Tuż Tuż Piotrków,Piotrków Trybunalski,517567670,52,3,Nie,-,Tak,Brak wlasciciela,Nikodem,,,,jutro szefowa powinna być,,,,,,
Fryzjer,Salon O MY HAIR,Piotrków Trybunalski,505508152,24,3,Nie,"Facebook, Instagram",Tak,Nie,Nikodem,,,,,,,,,,
Fryzjer,Fryzjer Męski „OCTOPUS Studio”,Piotrków Trybunalski,571059276,26,3,Nie,Instagram,Tak,Oddzwonic,Nikodem,Oddzwonić!,07.09,,17-18 call do niego,byl u lekarza dzis,,,,,
Fryzjer,Studio Fryzur Lidia,Piotrków Trybunalski,510474782,32,3,Nie,"Facebook, Instagram",Tak,Google Meet,Nikodem,,,08.07. 19:00,,,,,,,
Fryzjer,"Salon Fryzjerski ""U Łukasza""",Piotrków Trybunalski,510351522,186,3,Nie,Facebook,Tak,Nie,Sylwester,,,,,,,,,,
Fryzjer,KEO Studio,Piotrków Trybunalski,882120110,65,3,Nie,"Facebook, Booksy",Tak,Brak wlasciciela,Sylwester,,,,jutro od 10 atak,,,,,,
Fryzjer,Salon Gold Barbara & Barber Shop,Piotrków Trybunalski,793683442,150,5,Nie,"Facebook, Instagram, Booksy",,,-,,,,,,,,,,
Fryzjer,Szalone Nożyczki Studio Fryzur,Piotrków Trybunalski,504133453,31,3,Nie,Facebook,Nie,SMS,Sylwester,,,,,,,,,,
Fryzjer,Rita Studio fryzjerskie,Piotrków Trybunalski,608650884,40,3,Nie,-,Tak,Nie,Sylwester,,,,,,,,,,
Fryzjer,Starowarszawska Fryzjer Męski,Piotrków Trybunalski,791526940,21,3,Nie,"Instagram, Booksy",,,,,,,,,,,,,
Fryzjer,M STUDIO MONIKA WIŚNIEWSKA,Piotrków Trybunalski,602838557,32,3,Nie,Facebook,Tak,Nie,Nikodem,,,,,,,,,,
Fryzjer,Fryzjer Męski Barber shop Barber.ka,Piotrków Trybunalski,506309431,26,3,Nie,"Facebook, Booksy",Tak,Nie,Nikodem,,,,,,,,,,
Fryzjer,FRYZJERNIA Marta Robert,Poniatów,513912448,72,3,Nie,Facebook,,,,,,,,,,,,,
Fryzjer,Salon Psiej Urody PUDELEK,Piotrków Trybunalski,605590963,38,3,Tak,-,,,,,,,,,,,,,
Fryzjer,GrooMe - fryzjer dla psów,Wola Krzysztoporska,886215275,4,3,Nie,"Facebook, Instagram, Booksy",Tak,Nie,Nikodem,,,,,,,,,,
Fryzjer,Psia Łapka - Fryzjer dla zwierząt,Piotrków Trybunalski,781214342,79,3,http://psialapka.pl/,-,,,,,,,,,,,,,
Fryzjer,Studio Fryzur | Anna Oleksiewicz,Piotrków Trybunalski,505922067,30,3,Nie,Facebook,,,,,,,,,,,,,
Fryzjer,Diamond Hair by Anna Krajewska,Piotrków Trybunalski,531180790,116,3,Nie,-,,,,,,,,,,,,,
Fryzjer,Barber Shop MILA,Sulejów,600270142,59,3,Nie,-,,,,,,,,,,,,,
Fryzjer,"Salon fryzjerski ""LOOK"" Anna Hejduk",Zawodzie,695339172,34,3,Nie,-,,,,,,,,,,,,,
Fryzjer,💈Fryzjer Męski & Barber💈,Tomaszów Mazowiecki,660028398,132,3,Nie,-,,,,,,,,,,,,,
Fryzjer,Zaklad Fryzjerski TOMEK Fryzjer Męski,Tomaszów Mazowiecki,694835825,99,3,Nie,-,,,,,,,,,,,,,
Fryzjer,Salon Brodaczy Barber Shop,Tomaszów Mazowiecki,502555743,139,3,Nie,-,,,,,,,,,,,,,
Fryzjer,"Studio Fryzur ""KREATOR"" Konrad Mikosiński",Tomaszów Mazowiecki,577669187,69,3,Nie,-,,,,,,,,,,,,,
Fryzjer,LORD TURECKÝ BARBER SHOP,Piotrków Trybunalski,785740434,33,3,Nie,-,,,,,,,,,,,,,
Fryzjer,Pracownia Fryzjerska Adam Gródzński,Bełchatów,791898115,63,3,Nie,-,,,,,,,,,,,,,
Fryzjer,Studio Auryn Mateusz Kajpust,Bełchatów,881700978,37,3,Nie,-,,,,,,,,,,,,,
Fryzjer,"Salon Fryzjerski ""Subtil"" Julita Świerczyńska",Bełchatów,604391944,24,3,Nie,-,,,,,,,,,,,,,
Fryzjer,KAROLINA Salon Fryzjerski,Bełchatów,731013004,22,3,Nie,-,,,,,,,,,,,,,
Fryzjer,KZ Studio Fryzjerskie Karolina Zielonka,Bełchatów,697881239,22,3,Nie,-,,,,,,,,,,,,,
Fryzjer,PARADOXE STUDIO - BARBERSHOP,Bełchatów,533588960,15,3,Nie,-,,,,,,,,,,,,,
Fryzjer,BIENIEK Studio Fryzur Martyna Bieniek,Radomsko,728870061,52,3,Nie,-,,,,,,,,,,,,,
Fryzjer,Atelier Bianco - salon fryzjerski,Radomsko,510504203,45,3,Nie,-,,,,,,,,,,,,,
Fryzjer,Happy Hair and Beauty,Radomsko,574430261,49,3,Nie,-,,,,,,,,,,,,,
Fryzjer,Barber Shop,Kamieńsk,793943531,41,3,Nie,-,,,,,,,,,,,,,
Fryzjer,Salon Fryzjerski Małgorzata Damsko-Męski BARBER,Opoczno,669366402,53,3,Nie,-,,,,,,,,,,,,,
Fryzjer,Studio fryzur Joanna,Opoczno,888510469,53,3,Nie,-,,,,,,,,,,,,,
Fryzjer,Salon Fryzjerski Dorota Fiderek,Opoczno,447361454,73,3,Nie,-,,,,,,,,,,,,,
Fryzjer,Salon fryzjerski Szalone Nożyczki,Opoczno,512719383,109,3,Nie,-,,,,,,,,,,,,,
Fryzjer,Czuprynkowo,Tomaszów Mazowiecki,505534279,75,4,Nie,"Facebook, Instagram",Nie,SMS,Nikodem,,,,,,,,,,
Fryzjer,O!HAIR,Radomsko,576137881,2,4,Nie,"Facebook, Booksy",-,,,,,,chyba maja dojebana strone xdd,,,,,,
Fryzjer,DZIUPLA BARBERSHOP,Bełchatów,732238894,3,4,Nie,"Instagram, Booksy",,,,,,,,,,,,,
Fryzjer,Barbernia Barber Shop,Piotrków Trybunalski,535091285,65,4,Nie,-,,,,,,,,,,,,,
Fryzjer,Dżanas-Fryzjer&Barber,Piotrków Trybunalski,511124551,95,4,Nie,Booksy,,,,,,,,,,,,,
Fryzjer,TRIO Salon Kosmetyczno Fryzjerski,Piotrków Trybunalski,576413123,48,4,Nie,-,,,Sylwester,,,,dla sywlka,,,,,,
Fryzjer,Salon Urody Phenomental,Piotrków Trybunalski,784900144,57,4,Nie,Booksy,,,,,,,,,,,,,
Fryzjer,Fryzjer Męski Bartłomiej Fijołek,Sulejów,668830623,155,4,Nie,Wyróżnienie w jakiś orłach xddd,,,,,,,,,,,,,
Fryzjer,Michaello. Zakład fryzjerski. Michalczyk P.,Sulejów,609717871,94,4,Nie,-,,,,,,,,,,,,,
Fryzjer,Hoinkes Atelier KAROLINA HOINKES,Zawada,668927969,6,4,Nie,"Facebook, Instagram, Booksy",,,,,,,,,,,,,
Fryzjer,Salon Fryzjerski Jarosław Przyborek,Tomaszów Mazowiecki,609554876,112,4,Nie,-,,,,,,,potencjał,,,,,,
Fryzjer,Barber Shop FRYZ,Tomaszów Mazowiecki,720844420,340,4,Nie,Facebook,,,,,,,potencjał,,,,,,
Fryzjer,Edith Hair Salon,Piotrków Trybunalski,501955448,336,4,Nie,-,,,,,,,,,,,,,
Fryzjer,FADEZ Barber Shop,Piotrków Trybunalski,731855867,80,4,Nie,-,,,,,,,,,,,,,
Fryzjer,Barbershop Va&Le,Piotrków Trybunalski,664028224,58,4,Nie,-,,,,,,,,,,,,,
Fryzjer,Men's Hair Salon,Bełchatów,506100310,170,4,Nie,-,,,,,,,,,,,,,
Fryzjer,Outsiders Barber Shop,Bełchatów,605367270,80,4,Nie,-,,,,,,,,,,,,,
Fryzjer,Just Men Barber Shop,Bełchatów,888953707,87,4,Nie,-,,,,,,,,,,,,,
Fryzjer,Zajawa Barbershop,Bełchatów,572805002,89,4,Nie,Booksy,,,,,,,,,,,,,
Fryzjer,Barber Shop Warsztat - Bełchatów,Bełchatów,733003830,81,4,Nie,-,,,,,,,,,,,,,
Fryzjer,Egoist Salon fryzjerski,Bełchatów,730338230,97,4,Nie,-,,,,,,,,,,,,,
Fryzjer,Salon Fryzjerski CATTALEYA Agnieszka Jasińska,Bełchatów,665854757,74,4,Nie,-,,,,,,,,,,,,,
Fryzjer,GRANDA BARBER SHOP Bełchatów,Bełchatów,793504224,40,4,Nie,Booksy,,,,,,,,,,,,,
Fryzjer,Staromiejski Barbershop Radomsko,Radomsko,537278903,187,4,Nie,Booksy,,,,,,,,,,,,,
Fryzjer,Salon Fryzjerski MAŁGORZATA,Radomsko,694431966,121,4,Nie,-,,,,,,,,,,,,,
Fryzjer,Studio fryzjerskie EuroFryz,Radomsko,888735920,103,4,Nie,-,,,,,,,,,,,,,
Fryzjer,Klinika WŁOSA Karolina Masiarek,Radomsko,501092676,81,4,Nie,-,,,,,,,,,,,,,
Fryzjer,Miejsce Obowiązkowe,Radomsko,518417116,92,4,Nie,-,,,,,,,,,,,,,
Fryzjer,Wośko Salon Fryzjerski,Radomsko,512121094,55,4,Nie,-,,,,,,,,,,,,,
Fryzjer,Męska Sprawa,Kamieńsk,534593733,86,4,Nie,-,,,,,,,,,,,,,
Fryzjer,Salon fryzjerski Małgorzata Leśniewska,Opoczno,447542823,98,4,Nie,-,,,,,,,,,,,,,
Fryzjer,Salon fryzjerski Radosław Partyka,Opoczno,662623267,96,4,Nie,-,,,,,,,,,,,,,
Fryzjer,Salon Fryzjerski Kornelia Elżbieta Myszkowska,Opoczno,791993569,68,4,Nie,-,,,,,,,,,,,,,
Fryzjer,Boys in the Hood Barbershop,Bełchatów,780285668,11,5,Nie,"Facebook, Instagram, Booksy",-,-,-,,,,,,,,,,
Fryzjer,U Seby Barbershop,Bełchatów,503877000,6,5,Nie,"Facebook, Instagram, Booksy",,,,,,,,,,,,,
Fryzjer,Męski Punkt Widzenia - Salon Fryzjerski,Piotrków Trybunalski,517913884,58,5,Nie,"Facebook, Instagram, Booksy",,,,,,,goldmine,,,,,,
Fryzjer,Salon Fryzjerski PENELOPA,Piotrków Trybunalski,785179298,126,5,Nie,Instagram,,,,,,,goldmine,,,,,,
Fryzjer,Studio 31 Mateusz Zawisza i Kamila Brzoskowska,Piotrków Trybunalski,882432219,74,5,Nie,-,,,,,,,goldmine,,,,,,
Fryzjer,Gentelman Barber- Piotrków Tryb.,Piotrków Trybunalski,603660949,347,5,Nie,"Facebook, Instagram, Booksy",,,,,,,goldmine,,,,,,
Fryzjer,Psi Salon Brenda,Piotrków Trybunalski,506095122,45,5,Nie,Youtube,,,,,,,goldmine,,,,,,
Fryzjer,"Studio fryzjerskie ""Wiktoria"" Błażej Adamus",Piotrków Trybunalski,570450506,288,5,Nie,-,,,,,,,goldmine,,,,,,
Fryzjer,Barber Shop Warsztat,Piotrków Trybunalski,697404222,208,5,Nie,Instagram,,,,,,,goldmine,,,,,,
Fryzjer,STUDIO WYCZESANI,Bełchatów,602563279,144,5,Nie,-,,,,,,,goldmine,,,,,,
Fryzjer,Salon fryzjerski U Szymona,Bełchatów,605540666,318,5,Nie,-,,,,,,,goldmine,,,,,,
