Nisza,Nazwa firmy,Miasto,Telefon,Jakosc biznesu (1-5),Czy maja strone?,Odebral?,Zainteresowany?,Kto dzwonil,Reminder,Kiedy dzwonic,Termin Google Meet (w),Notatki
Fryzjer,Fryzjerstwo Meskie Michal Wojcik,Tomaszow Mazowiecki,792458545,2,Nie,Tak,Nie,Nikodem,,,,
Fryzjer,Studio Fryzjersko-Kosmetyczne Wizaz,Tomaszow Mazowiecki,663650302,2,Nie,Tak,Nie,Sylwester,,,,
Fryzjer,Zaklad fryzjerski (pl. Litewski),Piotrkow Trybunalski,535110382,2,Nie,Nie,Nie,Nikodem,,,,
Fryzjer,Awangarda Salon Fryzjerski,Piotrkow Trybunalski,692664857,3,Nie,-,,-,,,,
Fryzjer,Studio Wlosa,Piotrkow Trybunalski,883548545,3,Nie,Nie,Oddzwonic,Nikodem,,,,
Fryzjer,Salon Fryzjersko-Kosmetyczny DANUSIA,Piotrkow Trybunalski,507742486,3,Nie,Tak,Nie,Sylwester,,,,
Fryzjer,Przystanek Fryzjer - fryzjerstwo meskie,Piotrkow Trybunalski,574588071,3,Nie,Tak,Nie,Nikodem,,,,
Fryzjer,Salon Fryzjerski Paradise,Piotrkow Trybunalski,669301022,3,Nie,Nie,SMS,Nikodem,,,,
Fryzjer,X Cut Studio,Michalow,502077557,3,Nie,Tak,Nie,Nikodem,,,,
Fryzjer,Bogumila Staniewska Ombre Fryzjer Tuz Tuz Piotrkow,Piotrkow Trybunalski,517567670,3,Nie,Tak,Brak wlasciciela,Nikodem,,,,
Fryzjer,Salon O MY HAIR,Piotrkow Trybunalski,505508152,3,Nie,Tak,Nie,Nikodem,,,,
Fryzjer,Fryzjer Meski OCTOPUS Studio,Piotrkow Trybunalski,571059276,3,Nie,Tak,Oddzwonic,Nikodem,,,,
Fryzjer,Studio Fryzur Lidia,Piotrkow Trybunalski,510474782,3,Nie,Tak,Nie,Nikodem,,,,
Fryzjer,Salon Fryzjerski U Lukasza,Piotrkow Trybunalski,510351522,3,Nie,Tak,Nie,Sylwester,,,,
Fryzjer,Szalone Nozyczki Studio Fryzur,Piotrkow Trybunalski,504133453,3,Nie,Nie,SMS,Sylwester,,,,
Fryzjer,Rita Studio fryzjerskie,Piotrkow Trybunalski,608650884,3,Nie,Tak,Nie,Sylwester,,,,
Fryzjer,M STUDIO MONIKA WISNIEWSKA,Piotrkow Trybunalski,602838557,3,Nie,Tak,Nie,Nikodem,,,,
Fryzjer,FRYZJERNIA Marta Robert,Poniatow,513912448,3,Nie,Tak,Nie,Nikodem,,,,
Fryzjer,Salon Psiej Urody PUDELEK,Piotrkow Trybunalski,605590963,3,Tak,Tak,Dopiete,Nikodem,,,,
Fryzjer,Psia Lapka - Fryzjer dla zwierzat,Piotrkow Trybunalski,781214342,3,http://psialapka.pl/,-,-,-,,,,
Fryzjer,Studio Fryzur | Anna Oleksiewicz,Piotrkow Trybunalski,505922067,3,Nie,Tak,Nie,Nikodem,,,,
Fryzjer,Diamond Hair by Anna Krajewska,Piotrkow Trybunalski,531180790,3,Nie,Tak,Nie,Sylwester,,,,
Fryzjer,Salon Brodaczy Barber Shop,Tomaszow Mazowiecki,502555743,3,Nie,-,,,,,,
Fryzjer,Barber Shop,Kamiensk,793943531,3,Nie,Tak,SMS,Sylwester,,,,
Fryzjer,Studio fryzur Joanna,Opoczno,888510469,3,Nie,Tak,SMS,Sylwester,,,,
Fryzjer,Salon Fryzjerski Dorota Fiderek,Opoczno,447361454,3,Nie,Tak,Nie,Sylwester,,,,
Fryzjer,Salon fryzjerski Szalone Nozyczki,Opoczno,512719383,3,Nie,-,,,,,,
Fryzjer,Starowarszawska Fryzjer Meski,Piotrkow Trybunalski,791526940,4,Nie,-,,,,,,
Fryzjer,Fryzjer Meski Barber shop Barber.ka,Piotrkow Trybunalski,506309431,4,Nie,Tak,Nie,Nikodem,,,,
Fryzjer,KEO Studio,Piotrkow Trybunalski,882120110,4,Nie,Tak,Brak wlasciciela,Sylwester,,,,
Fryzjer,Barber Shop MILA,Sulejow,600270142,4,Nie,Tak,Nie,Nikodem,,,,
Fryzjer,Zaklad Fryzjerski TOMEK Fryzjer Meski,Tomaszow Mazowiecki,694835825,4,Nie,Nie,,Nikodem,,,,
Fryzjer,Studio Fryzur KREATOR Konrad Mikosinski,Tomaszow Mazowiecki,577669187,4,Nie,Nie,-,Nikodem,,,,
Fryzjer,Salon Fryzjerski Subtil Julita Swierczynska,Belchatow,604391944,4,Nie,Tak,Oddzwonic,Nikodem,,,,
Fryzjer,KZ Studio Fryzjerskie Karolina Zielonka,Belchatow,697881239,4,Nie,Nie,,Nikodem,,,,
Fryzjer,Atelier Bianco - salon fryzjerski,Radomsko,510504203,4,Nie,Tak,Nie,Nikodem,,,,
Fryzjer,Czuprynkowo,Tomaszow Mazowiecki,505534279,4,Nie,Nie,SMS,Nikodem,,,,
Fryzjer,O!HAIR,Radomsko,576137881,4,Nie,Tak,Google Meet,Nikodem,,,,
Fryzjer,DZIUPLA BARBERSHOP,Belchatow,732238894,4,Nie,Nie,-,Nikodem,,,,
Fryzjer,Barbernia Barber Shop,Piotrkow Trybunalski,535091285,4,Nie,Tak,Oddzwonic,Nikodem,,,,
Fryzjer,Dzanas-Fryzjer&Barber,Piotrkow Trybunalski,511124551,4,Nie,Tak,Nie,Nikodem,,,,
Fryzjer,Fryzjer Meski Bartlomiej Fijolek,Sulejow,668830623,4,Nie,Nie,SMS,Sylwester,,,,
Fryzjer,Michaello. Zaklad fryzjerski. Michalczyk P.,Sulejow,609717871,4,Nie,Nie,Nie,Sylwester,,,,
Fryzjer,Salon Fryzjerski Jaroslaw Przyborek,Tomaszow Mazowiecki,609554876,4,Nie,Nie,Nie,Sylwester,,,,
Fryzjer,Barber Shop FRYZ,Tomaszow Mazowiecki,720844420,4,Nie,Tak,Nie,Nikodem,,,,
Fryzjer,FADEZ Barber Shop,Piotrkow Trybunalski,731855867,4,Nie,Nie,Nie,Sylwester,,,,
Fryzjer,Men's Hair Salon,Belchatow,506100310,4,Nie,Nie,Nie,Sylwester,,,,
Fryzjer,Outsiders Barber Shop,Belchatow,605367270,4,Nie,Nie,,Nikodem,,,,
Fryzjer,Just Men Barber Shop,Belchatow,888953707,4,Nie,Tak,Oddzwonic,Nikodem,,,,
Fryzjer,Zajawa Barbershop,Belchatow,572805002,4,Nie,Tak,Google Meet,Nikodem,,,,
Fryzjer,Salon Fryzjerski MALGORZATA,Radomsko,694431966,4,Nie,Tak,Nie,Sylwester,,,,
Fryzjer,Studio fryzjerskie EuroFryz,Radomsko,888735920,4,Nie,Tak,Oddzwonic,Nikodem,,,,
Fryzjer,Klinika WLOSA Karolina Masiarek,Radomsko,501092676,4,Nie,Tak,Nie,Sylwester,,,,
Fryzjer,Miejsce Obowiazkowe,Radomsko,518417116,4,Nie,Tak,,Nikodem,,,,
Fryzjer,Wolko Salon Fryzjerski,Radomsko,512121094,4,Nie,Nie,Nie,Sylwester,,,,
Fryzjer,Meska Sprawa,Kamiensk,534593733,4,Nie,-,,,,,,
Fryzjer,Salon fryzjerski Malgorzata Lesniewska,Opoczno,447542823,4,Nie,Tak,Nie,Nikodem,,,,
Fryzjer,Salon fryzjerski Radoslaw Partyka,Opoczno,662623267,4,Nie,Nie,Oddzwonic,Nikodem,,,,
Fryzjer,Salon Fryzjerski Kornelia Elzbieta Myszkowska,Opoczno,791993569,4,Nie,Tak,Nie,Nikodem,,,,
Fryzjer,GrooMe - fryzjer dla psow,Wola Krzysztoporska,886215275,5,Nie,Tak,Nie,Nikodem,,,,
Fryzjer,Hoinkes Atelier KAROLINA HOINKES,Zawada,668927969,5,Nie,Tak,Nie,Nikodem,,,,
Fryzjer,Salon Gold Barbara & Barber Shop,Piotrkow Trybunalski,793683442,5,Nie,Tak,Nie,Nikodem,,,,
Fryzjer,LORD TURECKI BARBER SHOP,Piotrkow Trybunalski,785740434,5,Nie,Tak,Nie,Nikodem,,,,
Fryzjer,Pracownia Fryzjerska Adam Grodzinski,Belchatow,791898115,5,Nie,Nie,,Nikodem,,,,
Fryzjer,Studio Auryn Mateusz Kajpust,Belchatow,881700978,5,Nie,Tak,Oddzwonic,Nikodem,,,,
Fryzjer,KAROLINA Salon Fryzjerski,Belchatow,731013004,5,Nie,Tak,Oddzwonic,Nikodem,,,,
Fryzjer,PARADOXE STUDIO - BARBERSHOP,Belchatow,533588960,5,Nie,Tak,Oddzwonic,Nikodem,,,,
Fryzjer,BIENIEK Studio Fryzur Martyna Bieniek,Radomsko,728870061,5,Nie,Nie,,Nikodem,,,,
Fryzjer,Boys in the Hood Barbershop,Belchatow,780285668,5,Nie,Nie,-,Nikodem,,,,
Fryzjer,U Seby Barbershop,Belchatow,503877000,5,Nie,Nie,,Nikodem,,,,
Fryzjer,Meski Punkt Widzenia - Salon Fryzjerski,Piotrkow Trybunalski,517913884,5,Nie,Tak,Nie,Nikodem,,,,
Fryzjer,Salon Fryzjerski PENELOPA,Piotrkow Trybunalski,785179298,5,Nie,Nie,,Nikodem,,,,
Fryzjer,Studio 31 Mateusz Zawisza i Kamila Brzoskowska,Piotrkow Trybunalski,882432219,5,Nie,Tak,Nie,Nikodem,,,,
Fryzjer,Gentelman Barber- Piotrkow Tryb.,Piotrkow Trybunalski,603660949,5,Nie,Tak,Nie,Nikodem,,,,
Fryzjer,Psi Salon Brenda,Piotrkow Trybunalski,506095122,5,Nie,Tak,Nie,Nikodem,,,,
Fryzjer,GRANDA BARBER SHOP Belchatow,Belchatow,793504224,5,Tak,Tak,Google Meet,Nikodem,,,,
Fryzjer,Karmelkowe Ciapki. Psi fryzjer,Makoszyn,665872438,6,Nie,Zamkniete,,,,,,
Fryzjer,Salon Urody Phenomental,Piotrkow Trybunalski,784900144,6,Nie,Zamkniete,,,,,,
Fryzjer,Studio fryzjerskie Wiktoria Blazej Adamus,Piotrkow Trybunalski,570450506,6,Tak,Strona,,-,,,,
Fryzjer,Barber Shop Warsztat,Piotrkow Trybunalski,697404222,6,Tak,Strona,,-,,,,
Fryzjer,STUDIO WYCZESANI,Belchatow,602563279,6,Tak,Strona,,-,,,,
Fryzjer,Salon fryzjerski LOOK Anna Hejduk,Zawodzie,695339172,6,Tak,Strona,,-,,,,
Fryzjer,Staromiejski Barbershop Radomsko,Radomsko,537278903,6,Tak,Strona,,-,,,,
Fryzjer,Salon Fryzjerski Malgorzata Damsko-Meski BARBER,Opoczno,669366402,6,Tak,Strona,,-,,,,
Fryzjer,TRIO Salon Kosmetyczno Fryzjerski,Piotrkow Trybunalski,576413123,6,Tak,Strona,-,-,,,,
Fryzjer,Edith Hair Salon,Piotrkow Trybunalski,501955448,6,Tak,Tak,Nie,Sylwester,,,,
Fryzjer,Barbershop Va&Le,Piotrkow Trybunalski,664028224,6,https://rsudovij.wixsite.com/barbershopvale,Strona,-,-,,,,
Fryzjer,Barber Shop Warsztat - Belchatow,Belchatow,733003830,6,Tak,Strona,,-,,,,
Fryzjer,Egoist Salon fryzjerski,Belchatow,730338230,6,Tak,Strona,,-,,,,
Fryzjer,Salon Fryzjerski CATTALEYA Agnieszka Jasinska,Belchatow,665854757,6,Tak,Strona,,-,,,,
Fryzjer,Fryzjer Meski & Barber,Tomaszow Mazowiecki,660028398,6,Tak,Strona,,-,,,,
Fryzjer,Happy Hair and Beauty,Radomsko,574430261,6,Tak,Strona,,-,,,,
