Nisza,Nazwa firmy,Miasto,Telefon,Jakość biznesu (1-5),Czy mają stronę?,Odebrał?,Zainteresowany?,Kto dzwonił,Reminder,Kiedy dzwonić,Termin Google Meet (w),Notatki
Kosmetyczka,Medicus Salon fryzjersko - kosmetyczny,Bełchatów,446331221,4,Nie,,,,,,,"brak www, aktywny FB, 40 opinii 4.7 - dobry lead"
Kosmetyczka,Studio47 Kamila Rudzka,Bełchatów,668971133,4,Nie,,,,,,,"brak www, aktywny FB, 15 opinii 4.7"
Kosmetyczka,"Pro Harmonia - salon kosmetyczny, SPA",Bełchatów,690626492,5,Tak,,,,,,,"ma wlasna strone www, 31 opinii 4.5"
Kosmetyczka,Opium Esencja Piękna Bełchatów,Bełchatów,797755052,4,Nie,,,,,,,"brak www, bardzo aktywny FB+IG (regularne posty), 16 opinii 4.3"
Kosmetyczka,Coco-art Studio Paznokcia & Gabinet Kosmetyczny Chrzanowska Małgorzata,Bełchatów,503653545,3,Nie,,,,,,,"brak www, ma FB ale niska aktywnosc (4 opinie 5.0)"
Kosmetyczka,Pretty Woman by Wiola Wolicka,Bełchatów,792539053,4,Nie,,,,,,,"brak www, aktywny FB, 30 opinii 4.9 - dobry lead"
Kosmetyczka,Eve Nails Gabinet Kosmetyczny Ewelina Gwozdzik,Bełchatów,605299983,4,Nie,,,,,,,"brak www, aktywny FB, 17 opinii 5.0"
Kosmetyczka,ELIXIR KLINIKA KOSMETOLOGII,Bełchatów,693427962,3,Nie,,,,,,,"brak www, ma FB, umiarkowana aktywnosc (13 opinii 4.8)"
Kosmetyczka,Justyna Pawlak Kosmetolog,Bełchatów,516751624,3,Nie,,,,,,,"brak www, ma FB, umiarkowana aktywnosc (14 opinii 5.0)"
Kosmetyczka,Prestiż. Salon Kosmetyczny. Makara A.,Bełchatów,692426887,5,Tak,,,,,,,"ma wlasna strone www + FB/IG, 8 opinii 4.4"
Kosmetyczka,Juliett Beauty Room,Bełchatów,732701331,4,Nie,,,,,,,"brak www, aktywny Instagram, 15 opinii 5.0"
Kosmetyczka,Studio Urody Marta Góralska,Bełchatów,502504128,3,Nie,,,,,,,"brak www, ma FB (760 polubien) ale tylko 2 opinie Google"
Kosmetyczka,Gabinet Urody SZAFIR,Bełchatów,501309306,5,Tak,,,,,,,"ma wlasna strone www, 21 opinii 4.4"
Kosmetyczka,BOSCO BEAUTY Katarzyna Kępa,Bełchatów,690970088,5,Tak,,,,,,,"ma wlasna strone www + FB/IG/Booksy, 10 opinii 4.6"
Kosmetyczka,Studio Urody Sacrum Magdalena Puźniak,Bełchatów,506906600,5,Tak,,,,,,,"ma wlasna strone www, 5 opinii 5.0"
Kosmetyczka,Harmonia gabinet podologiczno – kosmetyczny,Bełchatów,605611680,5,Tak,,,,,,,"ma wlasna strone www + FB/IG, 41 opinii 5.0"
Kosmetyczka,Studio Paznokci Infinity,Bełchatów,796555655,3,Nie,,,,,,,"brak www, ma FB, niska aktywnosc (7 opinii 4.6)"
Kosmetyczka,Sandersonia,Bełchatów,793220024,5,Tak,,,,,,,"ma wlasna strone www + FB/IG, 34 opinie 5.0"
Kosmetyczka,Aleja Urody Ewa Głowacka Bełchatów,Bełchatów,666022122,2,Nie,,,,,,,"brak www i brak potwierdzonych social mediow, tylko 3 opinie Google"
Kosmetyczka,Fajne Pazury Joanna Ocińska,Bełchatów,733511929,4,Booksy,,,,,,,"brak www, rezerwacje przez Booksy, 3 opinie 5.0"
Kosmetyczka,ODNOVA,Bełchatów,607918116,4,Nie,,,,,,,"brak www, aktywny FB, az 54 opinie 4.8 - bardzo dobry lead"
Kosmetyczka,KONTUROVNIA,Bełchatów,503687944,5,Tak,,,,,,,"ma wlasna strone www, 25 opinii 5.0"
Kosmetyczka,Gabinet Kosmetyczny C.D. Beauty Time,Bełchatów,509861490,3,Nie,,,,,,,"brak www, ma FB, niska aktywnosc (2 opinie 3.0)"
Kosmetyczka,Bodyspa,Bełchatów,887343338,5,Tak,,,,,,,"ma wlasna strone www, 78 opinii 4.9"
Kosmetyczka,"Mari Studio Marieta Kieraś- Piercing, Laminacja Brwi i Rzęs Bełchatów",Bełchatów,798541866,4,Booksy,,,,,,,"brak www, rezerwacje przez Booksy, 7 opinii 5.0"
Kosmetyczka,LIN-a-LIN Karolina Lewińska,Bełchatów,794109563,4,Nie,,,,,,,"brak www, aktywny FB, 44 opinie 5.0"
Kosmetyczka,Gabinet kosmetyczny - Anna Piotrowska,Bełchatów,505508951,3,Nie,,,,,,,"brak www, ma FB, niska aktywnosc (5 opinii 4.2)"
Kosmetyczka,ZŁOTE LUSTRO Agnieszka Jańczyk,Bełchatów,784107446,5,Tak,,,,,,,"ma wlasna strone www + FB/IG/Booksy, 8 opinii 5.0"
Kosmetyczka,Salon Kosmetyczny Inspiracja,Bełchatów,697845013,3,Nie,,,,,,,"brak wlasnej www (link to katalog godzin otwarcia), ma FB, telefon uzupelniony z zewnetrznego zrodla"
Kosmetyczka,TANZANITO Klinika Piekna,Bełchatów,507288816,3,Nie,,,,,,,"brak www, ma FB, niska aktywnosc (6 opinii 5.0), telefon uzupelniony z zewnetrznego zrodla"
Kosmetyczka,Salon Urody BeLady Magdalena Wąsik,Bełchatów,780715163,3,Nie,,,,,,,"brak www, ma FB, bardzo mało opinii (1, 5.0)"
Kosmetyczka,Holistic Laser Magdalena Zielińska,Bełchatów,690417376,5,Tak,,,,,,,"ma wlasna strone www + FB, 14 opinii 5.0"
Kosmetyczka,SOWA GABINET KOSMETYCZNY,Kamieńsk,727919711,5,Tak,,,,,,,"ma własną stronę www (sowagabinet.pl) + aktywny FB i IG, brak Booksy — najmocniejsza obecność online w grupie"
Kosmetyczka,Katarzyna Rojczyk Usługi Kosmetyczne,Kamieńsk,731300190,2,Nie,,,,,,,"uzupełniony profil Google (3 opinie, 5.0), brak FB/IG/Booksy i własnej strony; telefon dociągnięty z gabinetkosmetyka.pl (Maps nie podał numeru)"
Kosmetyczka,Pasją Malowane Joanna Kułak,Barczkowice,501306587,3,Nie,,,,,,,"brak www, ma aktywny profil FB (mobilna stylizacja paznokci; wg wyszukiwania podobny profil ma ok. 2 tys polubień), brak liczby opinii Google w danych z Maps"
Kosmetyczka,Strefa Urody Gorzędów,Gorzędów,669010950,3,Nie,,,,,,,"uzupełniony profil Google (7 opinii, 5.0) + aktywny FB, brak www i potwierdzonego IG/Booksy"
Kosmetyczka,Salon kosmetyczny Kącik Urody,Opoczno,794995941,5,Tak,,,,,,,"ma własną stronę www + bardzo aktywny FB (4,3 tys polubień) i IG (1,7 tys obserwujących), 93 opinie 4.8 — najmocniejsza obecność online w grupie"
Kosmetyczka,Salon Urody Bellis & SPA Opoczno,Opoczno,609290956,5,Tak,,,,,,,"ma własną stronę www + FB/IG, 54 opinie 4.7"
Kosmetyczka,Madame,Opoczno,667013011,3,Booksy,,,,,,,"brak www, nie potwierdzono dedykowanego FB/IG, ale bardzo aktywny Booksy (244 opinie 4.9) i uzupełniony profil Google, 38 opinii 4.8"
Kosmetyczka,"Studio ""Strefa Piękna""",Opoczno,663558482,4,Nie,,,,,,,"brak www, aktywny FB + IG (681 obserwujących), 34 opinie 4.9"
Kosmetyczka,Salon Kosmetyczny GLOW Opoczno,Opoczno,733595175,4,Nie,,,,,,,"brak www, aktywny FB (2,5 tys polubień, prowadzony pod nazwiskiem Pauliny Chmielewskiej) + IG (1,5 tys obserwujących), 26 opinii 5.0"
Kosmetyczka,ISABELLA Beauty Studio,Opoczno,726863470,5,Tak,,,,,,,"ma własną (prostą, zrobioną na Canva) stronę www + FB/IG/Booksy, 43 opinie 5.0"
Kosmetyczka,Metamorfoza Studio Urody Wiktoria Angelika Zdybał,Opoczno,666502520,3,Nie,,,,,,,"brak www, potwierdzony FB, nie udało się jednoznacznie potwierdzić dedykowanego IG, 18 opinii 4.8"
Kosmetyczka,Gabinet Kosmetyczny ODNOWA,Opoczno,531631494,4,Nie,,,,,,,"brak www, bardzo aktywny FB (2,3 tys polubień) + IG, 10 opinii 4.6"
Kosmetyczka,Proxima Dominika Lenart-Śmigiel,Opoczno,531383119,3,Nie,,,,,,,"brak www, prawdopodobny FB pod nazwą Atelier (ta sama właścicielka), IG nie potwierdzony jednoznacznie, 22 opinie 5.0"
Kosmetyczka,Si Kosmetologia Joanna Poddębniak,Opoczno,574521198,4,Nie,,,,,,,"brak www, aktywny FB (1,2 tys polubień) + IG (685 obserwujących), 21 opinii 5.0"
Kosmetyczka,STUDIO IMPRESJA,Opoczno,502946786,4,Nie,,,,,,,"brak www, aktywny FB + IG (1,1 tys obserwujących), 11 opinii 4.6"
Kosmetyczka,"Studio Urody ""Cleo""",Opoczno,795791230,3,Nie,,,,,,,"brak www, aktywny FB (588 polubień), dedykowany IG dla oddziału w Opocznie nie potwierdzony (istnieje inny oddział Cleo w Krakowie), 13 opinii 5.0"
Kosmetyczka,Studio Venus,Opoczno,661706212,4,Nie,,,,,,,"brak potwierdzonej własnej www (domena studiovenus.pl znaleziona w wyszukiwaniu nie potwierdza adresu w Opocznie), aktywny FB (2,8 tys polubień) + IG, 54 opinie 3.9 — najniższa ocena w grupie"
Kosmetyczka,Angel Studio Urody,Opoczno,695309348,4,Nie,,,,,,,"brak www, aktywny FB + IG (1,8 tys obserwujących), 75 opinii 4.8 — mocny lead; Google Maps błędnie podaje miasto Honoratów, potwierdzony adres to ul. Piotrkowska 49, Opoczno"
Kosmetyczka,Opocznianka Salon Urody Amanda Sowińska,Opoczno,512042055,2,Nie,,,,,,,"uzupełniony profil Google, ale tylko 2 opinie, nie udało się jednoznacznie potwierdzić dedykowanego FB/IG"
Kosmetyczka,Salon kosmetyczny Naomi Makijaż permanentny,Opoczno,512457225,3,Nie,,,,,,,"brak www, potwierdzony FB, IG nie potwierdzony, tylko 5 opinii 4.2"
Kosmetyczka,"Salon Kosmetyczny ""Heaven""",Opoczno,785326897,4,Nie,,,,,,,"brak własnej www (link z Google Maps to wpis w katalogu beautynailhairsalons.com, nie własna strona), bardzo aktywny FB (1,3 tys polubień), tylko 6 opinii w Google 3.5; telefon uzupełniony ręcznie z wyszukiwania (Maps nie podał numeru)"
Kosmetyczka,Salon kosmetyczny Beauty Woman. Agnieszka Rogulska,Opoczno,605423063,3,Nie,,,,,,,"brak www, prawdopodobny FB (stylistka paznokci od 2016, ta sama okolica), dopasowanie niepewne, 7 opinii 4.4"
Kosmetyczka,ManiFik KATARZYNA PAWELCZYK,Opoczno,798120973,4,Booksy,,,,,,,"brak www, bardzo aktywny FB (2,7 tys polubień) + IG (1,2 tys obserwujących) + Booksy, tylko 5 opinii Google, ale mocna obecność social — dobry lead"
Kosmetyczka,EmiNova Emilia Marciszewska,Opoczno,505056166,3,Nie,,,,,,,"brak www, potwierdzony FB, Google Maps nie pokazał liczby opinii/oceny dla tej wizytówki — do sprawdzenia ręcznie"
Kosmetyczka,Patent na Pazur,Opoczno,575689972,3,Nie,,,,,,,"brak www, aktywny FB, dedykowany IG nie znaleziony, 13 opinii 5.0"
Kosmetyczka,Opalanie Natryskowe Opoczno,Opoczno,667701133,4,Nie,,,,,,,"brak www, aktywny FB + IG (1,8 tys obserwujących), 18 opinii 5.0"
Kosmetyczka,MAKEUP ROOM by Kinga Rudolf,Opoczno,515781641,2,Nie,,,,,,,"uzupełniony profil Google (3 opinie 5.0), nie znaleziono dedykowanego FB/IG"
Kosmetyczka,Salon Kosmetyczny Madam Monika Barańska Masaże & Spa,Piotrków Trybunalski,513804886,5,Tak,,,,,,,"Ma własną stronę (saloner.pl), aktywny FB/IG, 880 opinii 5.0 – bardzo mocny profil."
Kosmetyczka,Kosmetyka & Podologia Madeline,Piotrków Trybunalski,606406027,5,Tak,,,,,,,"Własna strona, aktywne FB/IG/Booksy, 475 opinii 5.0."
Kosmetyczka,Opalanie Natryskowe by Daga Piotrków Tryb,Piotrków Trybunalski,790740375,5,Tak,,,,,,,"Własna strona (też szkolenia), aktywne FB+IG, 249 opinii 5.0."
Kosmetyczka,Ateba. Centrum odnowy biologicznej,Piotrków Trybunalski,446496610,5,Tak,,,,,,,"Ma własną stronę ateba.pl (nie było w Google Maps), aktywny FB, 160 opinii 4.5."
Kosmetyczka,Lady Nova,Piotrków Trybunalski,516408100,5,Tak,,,,,,,"Własna strona, aktywne FB+IG (664 obserwujących), 118 opinii 5.0."
Kosmetyczka,Gabinet kosmetyczny YASUMI masaże i SPA Piotrków Trybunalski,Piotrków Trybunalski,609121199,5,Tak,,,,,,,"Sieciowy salon z własną stroną, pełne social+Booksy, 107 opinii 4.5."
Kosmetyczka,Projekt WO!man Kosmetologia Estetyczna,Piotrków Trybunalski,663555021,5,Tak,,,,,,,"Własna strona + aktywne FB/IG/Booksy, 83 opinie 4.9."
Kosmetyczka,BVITAL | Medycyna estetyczna i kosmetologia,Piotrków Trybunalski,696721214,5,Tak,,,,,,,"Własna strona, obecna na Booksy, prawdopodobnie aktywny Instagram (zdjęcia embedowane), 51 opinii 4.7."
Kosmetyczka,Perfect Look Clinic Piotrków Trybunalski,Piotrków Trybunalski,518552319,5,Tak,,,,,,,"Sieciowa klinika z własną stroną, aktywne FB/IG, 38 opinii 4.8."
Kosmetyczka,Anaïs Spa,Piotrków Trybunalski,607713601,5,Tak,,,,,,,"Własna strona, aktywny FB, 31 opinii 4.8."
Kosmetyczka,Odnowa - klinika lekarzy medycyny estetycznej Piotrków Trybunalski,Piotrków Trybunalski,603041919,5,Tak,,,,,,,"Własna strona, aktywne FB+IG+Booksy, 31 opinii 5.0."
Kosmetyczka,TETIANA LEVINA — kosmetologia & estetyka,Piotrków Trybunalski,731673496,5,Tak,,,,,,,"Własna strona, aktywne FB+IG, 15 opinii 5.0."
Kosmetyczka,Ocean Piękna Joanna Baran,Piotrków Trybunalski,694990989,5,Tak,,,,,,,"Własna strona, aktywny FB, 11 opinii 5.0."
Kosmetyczka,Premium Effect Emilia Krawczyk,Piotrków Trybunalski,509260356,5,Tak,,,,,,,"Własna strona (działa też w Gdańsku), aktywny FB, 3 opinie 5.0."
Kosmetyczka,Permanent Iryna Hoshko,Piotrków Trybunalski,579232147,4,Nie,,,,,,,"Brak własnej strony, bardzo aktywna: FB (13 130 lików!) + IG (1179 obserwujących), 72 opinie Google 5.0 - TOP LEAD."
Kosmetyczka,"""Maestria"" Przystań Relaksu Anna Stelmach Piotrków Trybunalski",Piotrków Trybunalski,791519453,4,Booksy,,,,,,,"Brak własnej strony, FB + Booksy, 58 opinii 4.5 (dwie lokalizacje w mieście)."
Kosmetyczka,GABINET PODOLOGII I KOSMETOLOGII MAGDALENA ROJEWSKA,Piotrków Trybunalski,609698869,4,Nie,,,,,,,"Brak własnej strony, aktywny FB (1076 lików), 47 opinii 4.6, działa od 2012."
Kosmetyczka,Lash Room & Beauty by Paula,Piotrków Trybunalski,507635491,4,Nie,,,,,,,"Brak własnej strony, bardzo aktywny FB (2541 lików), 40 opinii 5.0."
Kosmetyczka,ZACISZE FIZJOTERAPIA & KOSMETOLOGIA,Piotrków Trybunalski,531890540,4,Booksy,,,,,,,"Brak własnej strony, aktywna: FB+IG+Booksy, 26 opinii 5.0."
Kosmetyczka,EwcziMakeup Ewa Kafar,Piotrków Trybunalski,514757341,4,Nie,,,,,,,"Brak własnej strony, aktywna: FB(1394 lików)+IG, 24 opinie 4.8."
Kosmetyczka,Odnowa Salon Kosmetyczny Katarzyna Nadolska,Piotrków Trybunalski,789586411,4,Booksy,,,,,,,"Brak własnej strony, bardzo aktywna: FB(891 lików)+IG+Booksy(124 opinie 5.0 na Booksy), 23 opinie Google 5.0."
Kosmetyczka,oczaruj kosmetologia estetyczna,Piotrków Trybunalski,512664055,4,Nie,,,,,,,"Brak własnej strony, bardzo aktywny FB (2854 lików) i IG, 19 opinii 4.9."
Kosmetyczka,Glow Up! Aleksandra Rusin - Salon Kosmetyczny Piotrków,Piotrków Trybunalski,572485642,4,Booksy,,,,,,,"Brak własnej strony, aktywny FB, obecna na Booksy, 17 opinii 4.9."
Kosmetyczka,Urszula Krawczyk Beauty | Szkolenia | PMU | Brwi | Rzęsy,Piotrków Trybunalski,500052620,4,Booksy,,,,,,,"Brak własnej strony, aktywny FB (jako Akademia Urody) + Booksy, 15 opinii 4.7."
Kosmetyczka,Salon Holistic Beauty Monika Pałubska,Piotrków Trybunalski,510154735,4,Nie,,,,,,,"Brak własnej strony, aktywna: FB+IG, 14 opinii 5.0."
Kosmetyczka,Cosmetology Avenue Monika Pabich,Piotrków Trybunalski,511683488,4,Booksy,,,,,,,"Brak własnej strony, aktywny FB, obecna na Booksy, 13 opinii 5.0."
Kosmetyczka,Sylwia Kierlik Make Up & Ink,Piotrków Trybunalski,500601152,4,Nie,,,,,,,"Brak własnej strony, aktywna: FB(1141 lików)+IG, 10 opinii 5.0."
Kosmetyczka,Pure Beauty - Zuzanna Proskura,Piotrków Trybunalski,784301520,4,Booksy,,,,,,,"Brak własnej strony, aktywny FB + obecna na Booksy, 8 opinii 5.0 (młoda firma)."
Kosmetyczka,Zajączkowska Kosmetolog,Piotrków Trybunalski,669967772,4,Booksy,,,,,,,"Brak własnej strony, bardzo aktywna na Booksy (263 opinie na Booksy, 5.0), 8 opinii Google 4.5, nie znaleziono FB/IG."
Kosmetyczka,Strefa Piękna,Piotrków Trybunalski,519829988,4,Booksy,,,,,,,"Brak własnej strony, aktywny FB + Booksy (96 opinii 5.0 na Booksy), liczba opinii Google niedostępna w scrapie."
Kosmetyczka,Piękne Sztuki Stylizacja & Mani,Piotrków Trybunalski,575294571,3,Nie,,,,,,,"Brak własnej strony, aktywny FB, 21 opinii 4.8."
Kosmetyczka,TATEI BEAUTY Patrycja Gwarda,Piotrków Trybunalski,570966820,3,Nie,,,,,,,"Brak własnej strony, aktywny Instagram (714 obserwujących), 15 opinii 5.0."
Kosmetyczka,4Beauty Salon Fryzjersko - Kosmetyczny,Piotrków Trybunalski,576570971,3,Nie,,,,,,,"Brak własnej strony, aktywny FB, ale niewiele opinii (14, 5.0) i brak Booksy."
Kosmetyczka,"Quality, salon stylizacji rzęs i brwi Patrycja Błaszkowska-Pietraszek",Piotrków Trybunalski,691363251,3,Nie,,,,,,,"Brak własnej strony, obecny FB, 13 opinii 5.0."
Kosmetyczka,So Nails by Oliwia Szmalec,Piotrków Trybunalski,797451585,3,Nie,,,,,,,"Brak własnej strony, aktywny FB (269 lików) i TikTok, 11 opinii 5.0."
Kosmetyczka,Divine Studio - Kinga Grzywacz,Piotrków Trybunalski,796010021,3,Nie,,,,,,,"Brak własnej strony, obecna na Instagramie, 10 opinii 5.0, brak potwierdzonego FB/Booksy."
Kosmetyczka,"Just Beauty - studio kosmetyczne, szkolenia paznokcie",Piotrków Trybunalski,602835692,3,Nie,,,,,,,"Brak własnej strony, aktywny FB, 5 opinii 5.0 (młoda firma)."
Kosmetyczka,ForSkin Kinga Dec,Piotrków Trybunalski,784725299,3,Booksy,,,,,,,"Brak własnej strony, obecna na Booksy, ale tylko 4 opinie 5.0, nie znaleziono FB/IG."
Kosmetyczka,BeautyLab by JustynaMarecka,Piotrków Trybunalski,730930524,3,Nie,,,,,,,"Brak własnej strony, aktywny FB+IG, ale młoda firma - tylko 2 opinie 5.0."
Kosmetyczka,Oliwkowe stylizacje,Piotrków Trybunalski,575777283,2,Nie,,,,,,,"Uzupełniony profil Google (35 opinii, 5.0), nie znaleziono FB/IG/Booksy."
Kosmetyczka,Czarny Motyl Beauty,Piotrków Trybunalski,516515793,2,Nie,,,,,,,"Uzupełniony profil Google (23 opinie, 5.0), nie znaleziono FB/IG/Booksy."
Kosmetyczka,No i Pięknie!,Piotrków Trybunalski,515748674,2,Nie,,,,,,,"Uzupełniony profil Google (11 opinii, 5.0), nie znaleziono potwierdzonego FB/IG/Booksy dla lokalizacji Piotrków."
Kosmetyczka,Gabinet Kosmetyczny Xyntia,Piotrków Trybunalski,601280064,2,Nie,,,,,,,"Uzupełniony profil Google (1 opinia 5.0), nie znaleziono FB/IG/Booksy - starsza firma bez social media."
Kosmetyczka,Glamour Gabinet Kosmetologii i Podologii Agnieszka Piwowarczyk,Przedbórz,535403235,4,Nie,,,,,,,"brak www, aktywny Instagram (@glamour_gabinet, konto dedykowane gabinetowi), 9 opinii Google 5.0 - dobry lead"
Kosmetyczka,Estetic Wiola Salon Kosmetyczny,Przedbórz,537127914,4,Nie,,,,,,,"brak www, aktywny FB (Estetic.Wiola), 5 opinii Google 4.2"
Kosmetyczka,"Hair &Beauty Centrum Aneta Lubczyńska Gabinet Dermotrychologiczny, Trychologia Fryzjerstwo Kosmetyka",Przedbórz,605938332,2,Nie,,,,,,,"uzupełniony profil Google (6 opinii, 5.0), nie znaleziono FB/IG/Booksy mimo research"
Kosmetyczka,Metamorfoza Gabinet Kosmetyki Profesjonalnej Natalia Jędrzejczyk,Przedbórz,885456358,4,Nie,,,,,,,"brak www, aktywny FB, tylko 2 opinie Google 5.0 (młoda/mała firma) - dobry lead"
Kosmetyczka,Eden. Gabinet kosmetyczny. Hajduk A.,Przedbórz,691961598,3,Nie,,,,,,,"profil Google bez opinii/oceny (niedokończony), ale ma aktywny FB (Gabinet kosmetyczny EDEN, telefon zgodny)"
Kosmetyczka,Aga. Salon fryzjersko - kosmetyczny,Przedbórz,447815122,2,Nie,,,,,,,"uzupełniony profil Google (6 opinii, 4.7), firma na rynku od 1992 - nie znaleziono FB/IG/Booksy mimo research"
Kosmetyczka,YASUMI,Radomsko,517292390,5,Tak,,,,,,,"ma własną stronę www + aktywny FB/IG/Booksy, 94 opinie 4.9 — bardzo mocna obecność online"
Kosmetyczka,LAUREN Beauty Salon,Radomsko,503600760,5,Tak,,,,,,,"ma własną stronę www + FB/IG/Booksy, 13 opinii 5.0"
Kosmetyczka,ILARTO salon kosmetyczny,Radomsko,664949082,5,Tak,,,,,,,"ma własną stronę www + Booksy, 25 opinii 4.7; FB/IG nie znalezione"
Kosmetyczka,Julia Bednarska Make-up,Radomsko,739090942,2,Nie,,,,,,,"uzupełniony profil Google (10 opinii, 5.0), brak www; wyszukiwanie nie potwierdziło jednoznacznie profilu FB/IG (popularne imię i nazwisko)"
Kosmetyczka,Aleksandra Gomola Beauty • Radomsko • Makijaż permanentny brwi • Stylizacja brwi • Makijaż okolicznościowy,Radomsko,733520647,4,Booksy,,,,,,,"brak www, ale bardzo aktywny Instagram (5,1 tys. obserwujących), FB i Booksy, 29 opinii 4.9 — mocny lead"
Kosmetyczka,Gabinet Kosmetologii MN Magdalena Nowicka,Radomsko,725111236,4,Nie,,,,,,,"brak www, aktywny FB, 60 opinii 4.9 — dużo opinii, dobry lead"
Kosmetyczka,Studio Urody Radomsko,Radomsko,506016750,5,Tak,,,,,,,"ma własną stronę www + FB/IG, 10 opinii 5.0"
Kosmetyczka,Milady Salon,Radomsko,511245015,4,Booksy,,,,,,,"brak www, aktywny FB + Booksy, 14 opinii 5.0"
Kosmetyczka,ES Beauty,Radomsko,797165228,4,Nie,,,,,,,"brak www, aktywny FB (1042 polubienia), 29 opinii 5.0"
Kosmetyczka,Zakątek Zdrowia i Urody,Radomsko,571091222,1,Nie,,,,,,,"tylko 2 opinie w Google, brak potwierdzonych social media — słaba, niedokończona obecność online"
Kosmetyczka,Skin Care Clinic Julia Wojtecka,Radomsko,793027642,5,Tak,,,,,,,"ma własną stronę www + FB/IG/Booksy, 51 opinii 5.0 — bardzo mocna obecność online"
Kosmetyczka,Salon kosmetyczny Urodiva,Radomsko,513726767,2,Nie,,,,,,,"uzupełniony profil Google (14 opinii, 5.0), ale nazwy nie udało się jednoznacznie potwierdzić w social media"
Kosmetyczka,Hello Beauty Studio Urody,Radomsko,793390041,4,Nie,,,,,,,"brak www, potwierdzony FB (Radomsko), 13 opinii 4.8"
Kosmetyczka,Aniri Salon&Solarium,Radomsko,507142585,4,Nie,,,,,,,"brak www, aktywny Instagram + FB, 22 opinie 4.8"
Kosmetyczka,Zaczarowane Pędzle,Radomsko,516188251,5,Tak,,,,,,,"ma własną stronę www + FB/IG, 75 opinii 4.9 — mocna obecność online"
Kosmetyczka,Bellami Edyta Kolba,Radomsko,731751707,5,Tak,,,,,,,"ma własną stronę www + FB/IG/Booksy, 17 opinii 4.5"
Kosmetyczka,Salon Kosmetyczny Jagoda Zielińska,Radomsko,508302007,4,Nie,,,,,,,"brak www, FB + Instagram, 6 opinii 5.0"
Kosmetyczka,Gabinet Kosmetyczny oraz Studio Wizażu i Charakteryzacji Estetica,Radomsko,601812827,5,Tak,,,,,,,"ma własną stronę www (przestarzała, cert wygasł) + FB/IG, 15 opinii 5.0"
Kosmetyczka,"Aura Care - koreańska laminacja, stylizacja paznokci",Radomsko,530048712,2,Booksy,,,,,,,"uzupełniony profil Google (6 opinii, 5.0) + Booksy, ale brak potwierdzonego FB/IG"
Kosmetyczka,PEDI-LUX AGNIESZKA LISOWSKA GABINET PODOLOGICZNO - KOSMETYCZNY,Radomsko,507436866,3,Nie,,,,,,,"brak www, potwierdzony FB, ale tylko 3 opinie w Google — mniejszy profil"
Kosmetyczka,Weronika Krakowiak Face&Body Makeup,Radomsko,519820604,2,Nie,,,,,,,"uzupełniony profil Google (11 opinii, 5.0), obecność głównie na Fresha/Google Business, brak potwierdzonego FB/IG dedykowanego firmie"
Kosmetyczka,Esther Beauty,Radomsko,792920250,4,Nie,,,,,,,"brak www, aktywny FB (794 polubienia), 12 opinii 4.0"
Kosmetyczka,Atelier Urody Metamorfoza,Radomsko,508828538,4,Nie,,,,,,,"domena atelier-metamorfoza.pl wygasła (zaparkowana), realnie brak www; aktywny FB (1312 polubień), 14 opinii 5.0"
